time,tempid,evid,mag,reloc,x,z
2018-01-01T02:32:01.640000Z,SGC2018yyczk_69884,6721,2.20110561759,0,0.367,0.868
2018-01-01T04:31:59.190000Z,SGC2018yyczk_34942,6722,1.6655606834,0,0.212,0.589
2018-01-01T04:53:17.910000Z,SGC2018yyczk_55024,6724,3.2009780745,1,0.587504440633,1.04841888902
2018-01-01T05:15:24.810000Z,SGC2018yyczk_55024,6727,1.53579734383,0,0.204,0.846
2018-01-01T05:45:16.340000Z,SGC2018yyczk_34942,6728,1.4148046504,0,0.316,0.621
2018-01-01T06:29:36.110000Z,SGC2018yyczk_51041,6730,1.58277477083,0,0.251,0.62
2018-01-01T06:50:28.880000Z,SGC2018yyczk_55024,6731,1.58220592603,0,0.239,0.572
2018-01-01T07:25:08.840000Z,SGC2018yyczk_34942,6733,1.61264650749,0,0.135,0.47
2018-01-01T07:47:25.620000Z,SGC2018yyczk_34942,6734,1.60755096269,0,0.12,0.471
2018-01-01T08:17:37.160000Z,SGC2018yyczk_47863,6735,1.78350930693,0,0.346,0.665
2018-01-01T08:59:56.820000Z,SGC2018yyczk_34942,6736,1.49663032196,0,0.36,0.591
2018-01-01T09:45:31.020000Z,SGC2018yyczk_34942,6737,1.22619231355,0,0.137,0.51
2018-01-01T11:28:34.020000Z,SGC2018yyczk_45482,6738,1.74880515075,0,0.274,0.758
2018-01-01T12:20:57.140000Z,SGC2018yyczk_34942,6740,1.36029475954,0,0.223,0.754
2018-01-01T12:30:35.440000Z,SGC2018yyczk_34942,6741,1.34594192687,0,0.129,0.532
2018-01-01T12:43:47.660000Z,SGC2018yyczk_34942,6742,1.45029021557,0,0.207,0.719
2018-01-01T15:27:45.320000Z,SGC2018yyczk_34942,6743,2.57496372047,0,0.093,0.365
2018-01-01T17:35:15.850000Z,SGC2018yyczk_55024,6746,2.27939398255,0,0.13,0.791
2018-01-01T17:53:18.700000Z,SGC2018yyczk_46457,6748,1.80288376976,0,0.324,0.524
2018-01-01T19:48:49.740000Z,SGC2018yyczk_46457,6749,1.73247052145,0,0.21,0.893
2018-01-01T20:46:33.040000Z,SGC2018yyczk_55024,6750,1.81527467858,0,0.104,0.913
2018-01-01T22:16:05.020000Z,SGC2018yyczk_46457,6751,2.05569111672,0,0.403,0.647
2018-01-01T22:43:55.900000Z,SGC2018yyczk_34942,6754,1.55622383057,0,0.355,0.729
2018-01-01T23:21:23.380000Z,SGC2018yyczk_34942,6755,1.66999558837,0,0.219,0.355
2018-01-02T00:13:29.040000Z,SGC2018yyczk_34942,6756,1.63800533182,0,0.329,0.438
2018-01-02T00:56:01.360000Z,SGC2018yyczk_34942,6757,1.44983304027,0,0.22,0.282
2018-01-02T02:55:39.680000Z,SGC2018yyczk_34942,6760,1.60481948828,0,0.112,0.54
2018-01-02T03:05:14.880000Z,SGC2018yyczk_34942,6763,1.42317844748,0,0.123,0.703
2018-01-02T04:27:53.840000Z,SGC2018yyczk_34942,6764,1.24572014215,0,0.269,0.554
2018-01-02T05:02:31.290000Z,SGC2018yyczk_46457,6765,2.01059074222,0,0.296,0.785
2018-01-02T05:03:33.730000Z,SGC2018yyczk_56808,6768,1.72653469547,0,0.281,1.488
2018-01-02T06:25:19.800000Z,SGC2018yyczk_34942,6769,1.55472250843,0,0.115,0.617
2018-01-02T07:14:33.090000Z,SGC2018yyczk_55024,6770,1.51300947609,0,0.206,0.971
2018-01-02T07:37:25.050000Z,SGC2018yyczk_53066,6771,1.77565651228,0,0.456,1.092
2018-01-02T07:52:05.950000Z,SGC2018yyczk_34942,6773,1.42051329377,0,0.208,0.325
2018-01-02T09:27:55.780000Z,SGC2018yyczk_45482,6774,2.07772197301,0,0.232,0.545
2018-01-02T09:30:42.460000Z,SGC2018yyczk_46457,6777,1.90055260076,0,0.297,0.576
2018-01-02T10:48:32.370000Z,SGC2018yyczk_55024,6780,1.70996527399,0,0.191,0.881
2018-01-02T12:21:14.480000Z,SGC2018yyczk_46457,6781,1.88458668977,0,0.289,0.89
2018-01-02T13:28:05.310000Z,SGC2018yyczk_46457,6782,2.04511292074,0,0.268,0.815
2018-01-02T14:17:50.760000Z,SGC2018yyczk_55024,6783,1.90882848042,0,0.279,0.94
2018-01-02T15:07:44.770000Z,SGC2018yyczk_34942,6784,1.72832420368,0,0.233,0.865
2018-01-02T15:09:02.710000Z,SGC2018yyczk_39307,6785,2.50284783831,0,0.159,0.614
2018-01-02T15:13:21.200000Z,SGC2018yyczk_55024,6786,1.90747897731,0,0.257,0.832
2018-01-02T18:38:15.030000Z,SGC2018yyczk_55024,6787,2.25123904455,0,0.248,0.981
2018-01-02T21:36:02.120000Z,SGC2018yyczk_51041,6789,2.21904261241,0,0.288,0.571
2018-01-02T23:40:57.480000Z,SGC2018yyczk_46457,6790,1.89950239803,0,0.18,0.419
2018-01-03T00:51:48.450000Z,SGC2018yyczk_45482,6791,2.36542439294,0,0.284,0.791
2018-01-03T03:12:36.420000Z,SGC2018yyczk_55024,6792,1.85592275885,0,0.251,0.908
2018-01-03T03:31:47.540000Z,SGC2018yyczk_34942,6793,1.66204627245,0,0.378,0.488
2018-01-03T06:31:44.720000Z,SGC2018yyczk_46457,6794,1.98487138854,0,0.489,0.528
2018-01-03T08:05:15.900000Z,SGC2018yyczk_46457,6796,3.68740636312,1,0.216926536206,0.759531846384
2018-01-03T08:24:16.490000Z,SGC2018yyczk_51041,6799,1.99913325681,0,-0.033,0.677
2018-01-03T08:28:54.240000Z,SGC2018yyczk_53066,6800,1.54251697455,0,0.105,0.966
2018-01-03T09:49:35.990000Z,SGC2018yyczk_34942,6801,1.59957497928,0,0.152,0.598
2018-01-03T16:17:47.920000Z,SGC2018yyczk_34942,6802,1.95637124365,0,0.189,0.755
2018-01-03T18:58:22.530000Z,SGC2018yyczk_51041,6804,3.70433721149,1,3.33254853799,4.13941061058
2018-01-03T19:37:57.570000Z,SGC2018yyczk_39307,6806,2.70930288094,0,0.447,-0.005
2018-01-03T21:32:34.100000Z,SGC2018yyczk_34942,6807,1.80627093604,0,0.245,0.535
2018-01-03T22:26:05.130000Z,SGC2018yyczk_34942,6808,2.029538263,0,0.161,0.465
2018-01-03T22:35:02.950000Z,SGC2018yyczk_34942,6809,1.99333170622,0,0.261,0.529
2018-01-04T03:42:45.740000Z,SGC2018yyczk_45482,6810,1.99512949719,0,0.211,0.289
2018-01-04T04:10:20.740000Z,SGC2018yyczk_34942,6813,1.85725567508,0,0.163,0.317
2018-01-04T04:48:29.700000Z,SGC2018yyczk_34942,6816,1.66497931884,0,0.222,0.365
2018-01-04T05:05:01.670000Z,SGC2018yyczk_34942,6818,1.99945832808,0,0.118,0.503
2018-01-04T08:40:02.480000Z,SGC2018yyczk_56808,6821,1.56079078151,0,0.273,0.748
2018-01-04T09:00:28.450000Z,SGC2018yyczk_55024,6822,1.49632041734,0,0.153,0.611
2018-01-04T10:57:44.720000Z,SGC2018yyczk_47863,6823,3.24766097123,1,0.371084244481,0.655610127156
2018-01-04T12:11:53.300000Z,SGC2018yyczk_46457,6824,1.90898866224,0,0.271,0.692
2018-01-04T13:30:33.240000Z,SGC2018yyczk_55024,6825,1.87980552793,0,0.143,0.779
2018-01-04T14:04:26.030000Z,SGC2018yyczk_55024,6826,2.0197303465,0,0.312,0.714
2018-01-04T17:31:30.830000Z,SGC2018yyczk_34942,6827,2.11143908416,0,0.216,0.469
2018-01-04T17:33:14.520000Z,SGC2018yyczk_34942,6828,1.89807197881,0,0.336,0.575
2018-01-04T21:30:59.250000Z,SGC2018yyczk_34942,6829,1.83927175748,0,0.131,0.246
2018-01-04T23:40:37.680000Z,SGC2018yyczk_47863,6831,2.19320098371,0,0.353,0.976
2018-01-05T02:01:49.560000Z,SGC2018yyczk_34942,6832,2.62450183891,0,0.486,0.353
2018-01-05T03:35:03.380000Z,SGC2018yyczk_55024,6835,1.69456562727,0,0.216,1.061
2018-01-05T07:18:32.980000Z,SGC2018yyczk_61409,6836,2.19071882467,0,0.089,0.657
2018-01-05T07:42:43.280000Z,SGC2018yyczk_34942,6837,1.9230069657,0,0.278,0.429
2018-01-05T08:37:18.480000Z,SGC2018yyczk_55024,6839,1.82910016661,0,0.263,0.702
2018-01-05T12:19:01.440000Z,SGC2018yyczk_56808,6840,2.00349705188,0,0.112,1.007
2018-01-05T12:47:23.220000Z,SGC2018yyczk_34942,6843,1.92962243633,0,0.199,0.501
2018-01-05T16:57:24.430000Z,SGC2018yyczk_46457,6844,2.23904819714,0,0.077,0.816
2018-01-05T20:25:11.110000Z,SGC2018yyczk_34942,6845,1.97842827955,0,0.067,0.383
2018-01-05T20:25:49.280000Z,SGC2018yyczk_69982,6846,2.28873836851,0,0.241,1.396
2018-01-05T22:51:18.960000Z,SGC2018yyczk_39307,6849,1.996883067,0,0.164,0.953
2018-01-06T00:44:52.210000Z,SGC2018yyczk_45482,6850,2.17926573958,0,0.231,0.349
2018-01-06T01:20:31.870000Z,SGC2018yyczk_56808,6852,2.68276009909,0,0.312,0.869
